Age (Ma),CO2 (ppm),LOW CO2 ,HIGH CO2 ,ERROR(%),O2 (%)
570,1692.18390152868,1313.5868597934,2236.11508550725,27.2585096950887,14.8809523809524
560,1655.28321096019,1238.47011414598,2255.76493303754,30.7287240079434,12.1346648392208
550,1845.01390993129,1375.02833731489,2527.07108654926,31.220435332037,19.0952161822612
540,1949.28960103836,1444.12973959722,2684.61166146328,31.8188205899542,18.3521428479504
530,2585.25362212853,1900.48647271763,3586.07651212505,32.60009047042,22.8758595495004
520,2782.20268824629,2047.35735397882,3856.8576547633,32.5192033712875,21.4766814605139
510,2558.52206382782,1879.57754502011,3553.41569709885,32.711036104463,21.1356578112708
500,2271.91364969599,1664.24999870982,3165.13284122949,33.0312475282788,19.6834412326483
490,1900.26316970697,1392.72147359298,2644.52442178603,32.9376206450942,19.1878283490085
480,1751.35140333756,1279.93330070766,2443.82212352454,33.2283064551994,17.3288851653478
470,1558.71372569881,1138.45245311267,2175.55389953624,33.2678614849116,15.1408296887801
460,1208.77034902277,880.630102843307,1690.36618520009,33.4942068611881,18.8818284690728
450,1203.89358990504,882.334662929583,1673.63517657607,32.8642215674935,18.2802446451423
440,1415.59438129541,1043.71717953973,1956.90296379842,32.2545001705585,22.3667289447712
430,1761.47881300988,1303.87939710644,2427.72103617074,31.9005153727613,24.2675558092945
420,2263.15003962591,1621.71907864804,3231.79050771471,35.5714689895861,26.6201255721344
410,2039.16793570941,1460.36244780729,2912.34579997378,35.6023485545186,29.350595997489
400,1933.59346205826,1410.26500667584,2702.30496039404,33.4103310512556,19.6867933382481
390,1098.52177365359,816.823873215406,1498.0383341345,31.0059607946337,21.3445999377714
380,1428.25157456761,1052.53863073294,1974.04308190235,32.2598787068863,18.0142830175407
370,1019.64303337521,722.210479104928,1468.21225042422,36.5815166141961,16.1042696377957
360,728.974998228064,494.822514552437,1107.6266072181,42.0319005559326,18.1421668541441
350,243.949658554112,164.794006387114,392.550625718226,46.6810695044674,25.2620467898222
340,290.823829522578,208.321624209166,428.813311945487,37.9081191693068,24.1010056815749
330,265.210232800896,215.119923075054,339.259471221428,23.4039891363412,21.5823616078303
320,286.818789515082,223.540941949449,380.244155297386,27.3174595034153,22.708237691646
310,300.574480477956,233.313898842881,399.903842300187,27.7119240449829,26.6204397527592
300,312.851516632424,244.670020042229,412.522383959203,26.8262026861432,30.0110589031771
290,340.859402657944,266.527338571649,448.95491015156,26.7599441525424,32.4909513080183
280,296.330040347153,234.661371446347,384.421044737003,25.2690670704886,32.6056394299654
270,245.729877297133,199.295987121574,311.766266813964,22.884941979683,33.4526294581104
260,251.285637363855,204.817977790138,316.916052850391,22.3049109046248,32.1655286454483
250,485.931938833487,327.355596021261,766.529088397793,45.1887864616183,21.8076903333786
240,395.955300993972,264.932750068005,628.598968201933,45.9226353607354,19.0213118778749
230,413.420995515171,277.905806707242,656.822207584038,45.8269421470264,21.9525198760817
220,316.639481585684,221.319960776744,481.237486173094,41.0431327285406,27.2584651728097
210,416.262721102538,285.437862412544,646.450560467706,43.3635634124241,24.6767433588521
200,338.472262914741,238.13199767938,509.441124233032,40.078487409468,20.0993572941972
190,438.891640912409,302.38005610314,677.223847546124,42.7034553066132,12.1430534927897
180,395.670796363056,277.475549218622,598.975150644548,40.6271582817206,11.6728432498115
170,286.5171779005,208.366696093882,416.337870458136,36.2929678227665,13.2674582296921
160,317.093701138445,227.883170695441,466.591798697889,37.6400772303935,15.1004959650819
150,347.51743467455,247.641710403823,518.147304959944,38.9197156121749,15.3663795600019
140,464.441973519612,322.436961507173,712.680654729432,42.0121043609531,13.273111835481
130,549.541567074173,372.262534919214,868.980245090328,45.1938251746542,18.5895642267262
120,523.149224944963,355.483303932116,824.990071206097,44.8731207929606,21.9381564842448
110,607.391012824882,403.755467232674,981.862619181885,47.5893732161531,23.3411726495973
100,620.200786600402,409.165615683961,1010.34330463194,48.4663758847601,24.2585243006248
90,503.745410861446,340.68337872622,797.028108044891,45.2951748521425,24.4042796364956
80,471.477425108488,321.850611227318,737.261130578558,44.0541261605106,23.8198258144051
70,450.807959938492,309.020562435811,701.243547848314,43.5022249236701,23.8290270206355
60,391.72063292886,271.76252240943,599.902795396423,41.8844765124468,22.8813412735272
50,329.926233513511,231.891164095472,497.949209133616,40.3208381165677,22.3213770492901
40,254.665572399538,208.08454316016,320.02866337236,21.9786520724862,24.3865265135145
30,222.04803396239,182.475370523577,277.149617549992,21.3184159609472,24.852757081458
20,229.0385559192,186.699307287411,287.953697603406,22.1042238739305,24.2111702222368
10,244.803628225851,198.009989119559,309.92780267077,22.8586917527133,22.722748668998
0,241.689975491854,234.824556716123,249.688414896623,3.0749844196581,21.033893166925
