Time,fA (2023),fAW10_fA (2023) ,fAw10_fA Arid correction (2023) ,fAw_fA (+-10 plus 40-50N/S) (2023) ,fAw_fA (+-10 plus 40-50N/S) (2023)  ARID CORRECTED,fAw10_fA with 5* SUTURE & ARID correction(2023) ,OUR fAw10_fA (2023) on a SCOTESE reconsruction,OUR fAw10_fA (2023) on Merdith et al (2021) reconsruction,OUR fAw10_fA (2023) on a SCOTESE reconsruction ARID CORECTED,OUR fAw10_fA (2023) on Merdith et al (2021) reconsruction ARID CORECTED
570,0.59,1.33,1.33,1.22,1.22,1.10,0.67,1.12,0.67,1.12
560,0.59,1.33,1.33,1.22,1.22,1.10,0.67,1.12,0.67,1.12
550,0.59,1.33,1.33,1.22,1.22,1.10,0.67,1.12,0.67,1.12
540,0.59,1.33,1.33,1.22,1.22,1.10,0.67,1.12,0.67,1.12
530,0.55,1.23,1.23,1.14,1.14,1.02,0.71,1.25,0.71,1.25
520,0.51,1.12,1.12,1.09,1.09,0.93,0.61,1.19,0.61,1.19
510,0.45,0.81,0.81,0.94,0.94,0.67,1.04,1.05,1.04,1.05
500,0.53,0.83,0.83,1.04,1.04,0.70,1.13,1.12,1.13,1.12
490,0.55,0.95,0.95,1.04,1.04,0.80,0.95,1.09,0.95,1.09
480,0.54,1.37,1.37,1.25,1.25,1.18,1.21,1.38,1.21,1.38
470,0.54,1.58,1.58,1.44,1.44,1.35,1.28,1.51,1.28,1.51
460,0.53,1.62,1.62,1.42,1.42,1.44,1.21,1.37,1.21,1.37
450,0.61,1.56,1.56,1.25,1.25,1.41,1.24,1.48,1.24,1.48
440,0.62,1.14,1.14,1.03,1.03,1.05,0.90,1.24,0.90,1.24
430,0.51,1.34,1.34,1.13,1.13,1.27,1.12,1.43,1.12,1.43
420,0.61,1.21,1.21,1.18,1.18,1.01,1.15,1.26,1.15,1.26
410,0.66,0.73,0.73,0.96,0.96,0.60,0.84,0.99,0.84,0.99
400,0.65,0.48,0.48,0.98,0.98,0.40,0.72,0.89,0.72,0.89
390,0.56,0.54,0.54,0.73,0.73,0.44,0.75,1.01,0.75,1.01
380,0.56,0.71,0.71,0.74,0.74,0.59,1.00,1.17,1.00,1.17
370,0.59,0.66,0.66,0.78,0.78,0.63,0.93,0.87,0.93,0.87
360,0.67,0.91,0.91,1.05,1.05,0.82,0.98,0.98,0.98,0.98
350,0.68,1.04,1.04,1.19,1.19,0.86,0.99,1.09,0.99,1.09
340,0.72,1.15,1.15,1.16,1.16,0.94,1.12,1.08,1.12,1.08
330,0.70,1.06,1.06,1.14,1.14,0.94,1.03,0.76,1.03,0.76
320,0.80,0.96,0.96,1.07,1.07,0.82,1.04,1.01,1.04,1.01
310,0.71,1.07,1.07,1.16,1.16,1.00,1.07,0.98,1.07,0.98
300,0.75,1.02,1.02,1.09,1.09,0.99,0.93,0.94,0.93,0.94
290,0.81,1.00,1.00,1.06,1.06,0.82,0.90,0.92,0.90,0.92
280,0.77,1.06,1.06,1.09,1.09,0.87,0.97,0.98,0.97,0.98
270,0.76,0.87,0.37,1.12,0.85,0.31,0.84,0.79,0.33,0.28
260,0.86,1.00,0.39,1.15,0.83,0.32,0.82,0.83,0.20,0.22
250,0.87,0.87,0.40,1.10,0.86,0.33,0.79,0.83,0.33,0.37
240,0.91,0.94,0.48,1.20,0.96,0.42,0.86,0.92,0.41,0.47
230,0.91,0.82,0.36,1.12,0.87,0.68,0.84,0.85,0.37,0.39
220,0.89,0.87,0.38,1.18,0.92,0.31,0.93,0.92,0.44,0.43
210,0.94,1.07,0.40,1.22,0.87,0.33,1.07,1.04,0.40,0.38
200,0.90,0.91,0.25,1.16,0.81,0.20,0.94,0.91,0.28,0.24
190,0.90,1.06,0.37,1.21,0.85,0.30,1.07,0.98,0.37,0.29
180,0.93,1.00,0.35,1.25,0.91,0.29,0.99,0.92,0.35,0.27
170,0.82,0.94,0.29,1.38,1.03,0.24,1.08,0.93,0.43,0.28
160,0.73,1.09,0.34,1.40,1.01,0.28,1.16,1.05,0.41,0.30
150,0.78,1.00,0.37,1.28,0.95,0.31,1.08,0.95,0.45,0.31
140,0.81,1.08,0.40,1.22,0.86,0.34,1.11,1.04,0.43,0.35
130,0.78,0.99,0.36,1.23,0.89,0.30,1.03,0.99,0.39,0.35
120,0.72,1.08,0.36,1.27,0.89,0.30,1.05,1.07,0.32,0.35
110,0.78,1.09,0.40,1.22,0.86,0.33,1.00,1.05,0.31,0.36
100,0.72,0.83,0.83,1.08,1.08,0.68,0.74,0.89,0.74,0.89
90,0.72,0.83,0.83,1.08,1.08,0.78,0.82,0.88,0.82,0.88
80,0.64,0.87,0.87,1.15,1.15,0.83,0.86,0.85,0.86,0.85
70,0.81,0.96,0.96,1.15,1.15,0.79,1.05,0.99,1.05,0.99
60,0.88,0.90,0.90,1.13,1.13,0.86,1.10,0.94,1.10,0.94
50,0.93,1.04,1.04,1.15,1.15,0.99,1.16,1.09,1.16,1.09
40,0.96,0.93,0.93,1.02,1.02,0.83,1.08,1.09,1.08,1.09
30,0.99,0.91,0.91,1.00,1.00,0.78,0.96,0.96,0.96,0.96
20,1.00,0.84,0.84,0.90,0.90,0.80,0.87,0.87,0.87,0.87
10,1.01,0.97,0.97,0.94,0.94,0.93,0.96,1.05,0.96,1.05
0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
