Age,Zr (detrended),Merdith S-Flux,CEED S-Flux,CEED Hybrid (S-Flux/Zr)
570,1.658465965,2.458955224,1.658465965,1.658465965
560,1.731020631,1.951492537,1.731020631,1.731020631
550,1.747251738,1.798507463,1.747251738,1.747251738
540,1.673933348,1.026119403,1.673933348,1.673933348
530,1.767231023,1.126865672,1.767231023,1.767231023
520,1.798306589,1.007462687,1.798306589,1.798306589
510,1.775847319,1.108208955,1.775847319,1.775847319
500,1.71841811,1.145522388,1.831034483,1.71841811
490,1.584984002,1.361940299,2.037931034,1.584984002
480,1.68751283,1.414179104,2.4,1.68751283
470,1.47518252,1.947761194,1.682758621,1.47518252
460,1.437264639,1.570895522,1.403448276,1.437264639
450,1.416158912,1.701492537,1.620689655,1.416158912
440,1.369497726,2.425373134,1.54137931,1.369497726
430,1.321515002,2.041044776,1.751724138,1.321515002
420,1.295795677,2.111940299,1.948275862,1.295795677
410,1.301351236,1.544776119,1.996323529,1.301351236
400,1.303303688,1.294776119,1.944852941,1.303303688
390,1.318493041,1.496268657,1.915441176,1.318493041
380,1.393817558,1.317164179,1.683823529,1.393817558
370,1.624664543,1.585820896,1.948529412,1.624664543
360,1.900025756,2.190298507,2.029411765,1.900025756
350,2.055792789,1.798507463,2.0625,2.0625
340,1.787566095,1.936567164,2.014705882,2.014705882
330,1.61781294,2.22761194,1.801470588,1.801470588
320,1.371560603,2.130597015,1.529411765,1.529411765
310,1.329399651,1.332089552,1.330882353,1.330882353
300,1.303169004,1.388059701,1.371323529,1.371323529
290,1.317431961,1.305970149,1.540441176,1.540441176
280,1.437537802,1.697761194,1.419117647,1.419117647
270,1.479447793,1.634328358,1.540441176,1.540441176
260,1.581295885,1.686567164,1.588235294,1.588235294
250,1.582265201,1.53358209,1.180147059,1.180147059
240,1.452966587,1.5,1.290441176,1.290441176
230,1.388153171,1.21641791,1.125,1.125
220,1.340868309,1.201492537,1.147058824,1.147058824
210,1.351895519,1.164179104,1.180147059,1.180147059
200,1.353145142,0.869402985,1.154411765,1.154411765
190,1.465672436,0.985074627,1.014705882,1.014705882
180,1.664949691,1.343283582,1.161764706,1.161764706
170,1.996705469,1.23880597,1.279411765,1.279411765
160,2.071293777,1.317164179,1.404411765,1.404411765
150,1.992623419,1.708955224,1.566176471,1.566176471
140,1.767688658,2.085820896,1.889705882,1.889705882
130,1.709687734,2.485074627,2.430147059,2.430147059
120,2.429854015,1.865671642,1.941176471,1.941176471
110,1.944422572,1.955223881,1.819852941,1.819852941
100,1.759527873,1.52238806,1.632352941,1.632352941
90,1.390760515,1.492537313,1.691176471,1.691176471
80,1.265724357,1.645522388,1.463235294,1.463235294
70,1.212913925,1.656716418,1.602941176,1.602941176
60,1.280284442,1.600746269,1.584558824,1.584558824
50,1.098671575,1.171641791,1.264705882,1.264705882
40,1.048696477,1.28358209,1.220588235,1.220588235
30,1.077010922,1.320895522,1.367647059,1.367647059
20,1.067469341,1.104477612,1.169117647,1.169117647
10,1,1.085820896,1.088235294,1.088235294
0,1,1,1,1
