Age,fA,fAW,fD,fL,GEOG
570,1,0.957268982,0.56185567,0.63,-7.323
560,1,0.957268982,0.56185567,0.63,-7.323
550,1,0.957268982,0.56185567,0.63,-7.323
540,0.99,0.957268982,0.56185567,0.63,-7.323
530,0.961,0.965685697,0.626440267,1.05,-5.9985
520,0.932,0.974102413,0.691024864,1.05,-4.674
510,0.902,0.982519129,0.75560946,0.97,-3.3495
500,0.873,0.990935845,0.820194057,0.99,-2.025
490,0.89,0.973003728,0.847786537,0.99,-1.985
480,0.906,0.95507161,0.875379018,0.99,-1.945
470,0.923,0.937139494,0.902971498,1.07,-1.905
460,0.83,0.96115362,0.94633111,1.07,-1.845
450,0.737,0.985167746,0.989690722,1.15,-1.785
440,0.755,0.990229547,0.946482717,1.43,-2.445
430,0.773,0.995291348,1.076106731,1.43,-0.465
420,0.791,0.986384147,1.083282798,1.54,-0.904
410,0.809,0.977476948,1.090458864,1.63,-1.343
400,0.827,0.968569747,1.09763493,1.63,-1.782
390,0.787,0.97198352,1.123913483,1.47,-0.577333333
380,0.747,0.975397293,1.150192036,1.47,0.627333333
370,0.707,0.978811065,1.176470588,1.47,1.832
360,0.736,0.987757504,1.170002021,1.4,1.229666667
350,0.766,0.996703943,1.163533455,1.41,0.627333333
340,0.796,1.005650383,1.157064888,1.41,0.025
330,0.8,1.009005297,1.152440873,1.41,0.2245
320,0.803,1.012360212,1.147816859,1.41,0.424
310,0.807,1.015715127,1.143192844,1.45,0.6235
300,0.81,1.019070041,1.13856883,1.45,0.823
290,0.848,0.929487934,0.987265009,1.45,1.1065
280,0.886,0.839905827,0.835961189,1.31,1.39
270,0.918,0.839022955,0.788963008,1.31,0.7155
260,0.949,0.838140082,0.741964827,1.31,0.041
250,0.967,0.820011772,0.644329897,1.43,-0.710333333
240,0.971,0.806686286,0.577926016,1.36,-0.5714
230,0.972,0.798163626,0.542753184,1.39,0.4578
220,0.971,0.789640965,0.507580352,1.23,1.487
210,0.968,0.811241907,0.669193451,1.23,2.3375
200,0.965,0.832842849,0.830806549,1.36,3.188
190,0.937,0.844025898,0.830806549,1.36,3.9155
180,0.909,0.855208946,0.830806549,1.25,4.643
170,0.914,0.878012277,0.868664992,1.25,3.916428571
160,0.922,0.900815606,0.906523434,1.25,3.189857143
150,0.93,0.923618936,0.944381876,1.24,2.463285714
140,0.928,0.953109673,0.996563574,1.04,2.1835
130,0.9,0.989287816,1.063068526,1.04,2.3505
120,0.873,1.02546596,1.129573479,1.04,2.5175
110,0.846,1.045320777,1.166889024,1.04,3.0702
100,0.819,1.048852266,1.175015161,1.04,4.0086
90,0.843,1.052383755,1.183141298,0.88,4.947
80,0.893,1.029958799,1.192692541,0.88,4.28
70,0.943,1.007533843,1.202243784,0.88,3.613
60,0.971,1.045006866,1.190115221,1.26,2.016888889
50,0.999,1.068286158,1.181956006,1.1,0.685181818
40,1.043,1.034790518,1.189674183,1.1,0.411090909
30,1.087,1.001294879,1.197392359,1.29,0.137
20,1.039,1.000431627,1.071255306,0.99,0.045666667
10,1.01,1,1.005457853,1,0
0,1,1,1,1,0
