Time,d13c,ed13C
570,0,3.238870123
560,0,3.238870123
550,0,3.238870123
540,0,3.238870123
530,0.5,5.535663778
520,-0.5,4.50361771
510,-0.473611181,2.699188299
500,0.454133466,2.181605494
490,0.927270262,3.329082826
480,-1.167197894,1.106171004
470,-0.587335007,0.838475848
460,-0.626964449,2.081805714
450,0.197904018,2.147943245
440,2.221411043,3.553417327
430,2.403757895,2.844772291
420,2.74669312,4.719226463
410,2.070512726,1.184202168
400,0.690017836,1.0019236
390,1.809125,1.495804068
380,1.314646889,2.620161621
370,1.16892263,2.045418862
360,4.21025308,3.314852605
350,2.180632008,1.989942965
340,1.793,1.467398424
330,1.318031674,1.9007443
320,1.200417582,2.63015
310,2.512745946,1.401685422
300,2.081667293,1.500162565
290,2.684005051,2.346117379
280,2.771219771,1.353198134
270,3.94582091,1.804554335
260,1.784697233,4.182757483
250,1.944015093,3.179707808
240,2.123627619,0.691605842
230,3.176296296,1.18392565
220,3.383571429,0.725763236
210,2.080322581,1.287483166
200,1.033389831,1.588552193
190,1.881549296,2.240565357
180,1.071333333,4.128377625
170,1.413269231,2.280790098
160,2.805,3.239398827
150,1.72862069,1.383398756
140,1.598372093,1.061974174
130,1.767407407,1.20330479
120,2.657777778,1.490126766
110,2.031764706,1.367248691
100,1.964,0.302508808
90,1.83921875,0.712770625
80,2.143513514,0.346096204
70,1.920941176,0.856307819
60,1.478708709,1.539149437
50,0.579309896,0.809656628
40,0.947730819,0.630548667
30,0.7707314,0.711047544
20,0.956836131,0.720541444
10,0.951833753,0.934246422
0,1.314445507,1.105346423
