Age (Ma),GAT (ToC),CO2 (ppm) (M12),Climate
540,22,8587,Greenhouse
530,22,7149,Greenhouse
520,24,7643,Greenhouse
510,25,8470,Greenhouse
500,23,6292,Greenhouse
490,23,4573,Greenhouse
480,21,3548,Greenhouse
470,18,2537,Greenhouse
460,17,2065,Greenhouse
450,15,1730,Icehouse
440,16,2219,Icehouse
430,16,1612,Greenhouse
420,19,1971,Greenhouse
410,19,2582,Greenhouse
400,17,4208,Greenhouse
390,19,2282,Greenhouse
380,19,2187,Greenhouse
370,25,1719,Greenhouse
360,20,1037,Greenhouse
350,20,636,Greenhouse
340,19,684,Greenhouse
330,19,473,Icehouse
320,12,451,Icehouse
310,14,361,Icehouse
300,12,366,Icehouse
290,14,444,Icehouse
280,14,447,Icehouse
270,17,734,Icehouse
260,20,726,Icehouse
250,31,4140,Greenhouse
240,25,3215,Greenhouse
230,25,1204,Greenhouse
220,24,2088,Greenhouse
210,24,1574,Greenhouse
200,24,1524,Greenhouse
190,21,1016,Greenhouse
180,24,713,Greenhouse
170,22,786,Greenhouse
160,20,957,Greenhouse
150,20,1084,Greenhouse
140,19,1929,Greenhouse
130,21,2871,Greenhouse
120,24,1420,Greenhouse
110,21,915,Greenhouse
100,24,351,Greenhouse
90,27,308,Greenhouse
80,22,283,Greenhouse
70,25,262,Greenhouse
60,22,303,Greenhouse
50,25,218,Greenhouse
40,22,219,Greenhouse
30,18,262,Icehouse
20,17,279,Icehouse
10,16,266,Icehouse
0,14,241,Icehouse
