Age (Ma),COPSE CO2,GEOCLIM CO2,SCION CO2,O2,GIT CO2 (2),
570,,,,,1244.99711,
560,,,,,1226.146824,
550,,,,,1207.551158,
540,3574.9,7690,7267.6,16.8,1189.207115,
530,3355.7,6730,6925,16.9,1171.111728,
520,3242,5447,7097.2,15.2,1153.262061,
510,3213,4131.6,6650.1,13.6,1135.655203,
500,3158.9,3165.5,6518.3,13.7,1118.288277,
490,3226.4,2711,5830.6,13.8,1101.15843,
480,3303.8,2160.3,5174,14.2,1084.262841,
470,3275.6,1845.6,4549.5,14,1067.598715,
460,3088.3,2230,5060.7,13.9,1051.163287,
450,2396.8,2407.7,5940.7,14.2,1034.953818,
440,2129.6,1832.5,5143.4,14.9,1018.967597,
430,1821.4,1577.8,4364.6,15,1003.201941,
420,1742.4,2146.2,4207.3,14.8,987.6541942,
410,1753.3,2636.1,4378.3,14.8,972.3217266,
400,2066.9,2821,4260.6,14.6,957.2019359,
390,1178.6,2643.3,3462.2,16.1,942.292246,
380,777.5,2277.3,2596.3,19.1,927.5901071,
370,595.3,1940,3948.1,20.7,913.0929955,
360,572.4,1793.4,3719.4,21.9,898.7984133,
350,489.2,1780.1,2359.8,23,884.7038884,
340,463.8,1788.1,2010.1,23.4,870.806974,
330,486.4,1763.3,1564.8,23.2,857.1052485,
320,596.8,1773.3,1169.8,23.1,843.5963156,
310,768,1792.5,990.4,22.8,830.2778034,
300,966.6,1710.6,992,22.9,817.1473651,
290,1250.3,1562.1,1182.8,23,804.2026779,
280,1447.6,1705.7,1454.7,22.9,791.4414435,
270,1379.6,2248.2,1974.1,22.9,778.8613876,
260,1345.5,2909.5,2802.8,22.9,766.4602595,
250,1245.9,3938.3,2667.6,23.1,754.2358323,
240,1393.7,5395.1,2238.1,23,742.1859026,
230,1443.6,6091.5,2128,22.5,730.30829,
220,1586.4,4422.8,2447.5,22.1,718.6008373,
210,1059.7,2911.7,1294.2,21.7,707.0614101,
200,556.9,745.2,593.3,20.9,695.6878967,
190,579.2,540.8,514.7,20.8,684.4782077,
180,697.9,850,617.1,21.3,673.4302762,
170,824.4,806.8,629,21.7,662.5420571,
160,856.2,649.2,559.8,21.6,651.8115276,
150,822.8,597.1,600.4,21.7,641.2366861,
140,841.4,573.3,1071.2,22.7,630.8155528,
130,766.8,513.9,2375.9,23.6,620.5461693,
120,839,431.9,3556.3,24,610.4265983,
110,916.1,353.5,3024.3,24.4,600.4549232,
100,1127.7,291,2504.3,24.6,590.6292486,
90,1230.1,248,1868.9,24.5,580.9476994,
80,1130.3,223.6,1744.6,24.1,571.4084211,
70,988.4,213.7,1702.1,23.9,562.0095794,
60,679.1,202.6,1353.4,23.7,552.74936,
50,508.8,137.1,905.3,23.4,543.6259686,
40,401.8,61.8,798.7,23.5,534.6376305,
30,316.8,243.2,847.9,23.8,525.7825908,
20,324.1,524,757,23.8,517.0591136,
10,321.3,419.6,473.5,23.1,508.4654825,
0,299.2,263,289.7,22,500,
