Age,CO2,St.DEV,N
0,258.7072782,68.98750326,834
10,268.9091667,117.2004229,204
20,397.2793631,151.2952825,157
30,540.7360811,180.448656,74
40,858.2639706,237.1202244,136
50,1154.66175,464.8561839,80
60,999.5693056,535.7136475,72
70,847.9263014,641.4916766,83
80,856.254595,490.5503129,18
90,751.2581731,304.7609437,52
100,988.9930423,249.9124019,65
110,1158.415916,414.3110844,32
120,1129.796026,402.3303965,71
130,957.5741951,595.3863092,19
140,838.2212908,336.3400841,20
150,742.1963044,157.4032502,26
160,707.4942167,110.759487,4
170,1052.653257,326.2166796,16
180,917.736,207.9172309,25
190,1045.95792,442.9686258,5
200,1752.931247,706.7200559,108
210,1207.559539,787.5843697,112
220,2108.889744,1192.883659,26
230,1922.779842,1155.704792,19
240,511.54,231.5296914,5
250,948.2181818,392.9657054,11
260,532.825,129.7992649,4
270,283.3888889,79.58291741,6
280,808.4502203,356.0362057,11
290,619.2910373,496.6880587,13
300,361.4736842,193.017311,57
310,431.3375,119.2498647,80
320,352.8333333,50.41990348,6
330,273.3333333,56.86240703,3
340,509.1,259.0516808,4
350,386.6,162.775981,2
360,647,0,0
370,908.1666667,340.5543755,6
380,1047.684211,154.5347975,19
390,968.5333333,514.5445105,3
400,1800.75,679.8831701,2
410,2192,910.7535342,2
420,1560,169.7056275,2
430,509.4,0,1
440,666.3,0,1
450,509.54,147.3789366,20
