age (Myrs ago),CO2minus,CO2pluss,O2minus,O2pluss
570.0,2043.4,3275.5,1.6,1.5
560.0,2195.7,3562.6,2.4,2.5
550.0,2458.2,4121.5,1.7,1.6
540.0,2763.2,4508.4,2.0,2.0
530.0,2580.4,4163.1,2.2,1.8
520.0,2127.1,3428.8,2.2,2.2
510.0,1653.9,2602.1,2.1,1.9
500.0,1268.3,1989.3,2.2,2.2
490.0,1062.7,1622.3,2.0,2.0
480.0,942.4,1403.3,2.0,1.9
470.0,813.9,1259.8,2.0,2.0
460.0,676.8,1042.1,2.0,1.8
450.0,708.1,1072.9,1.7,1.6
440.0,738.4,1110.6,1.8,1.8
430.0,515.3,783.6,2.0,1.9
420.0,729.2,1120.1,2.1,2.0
410.0,753.6,1246.6,2.3,2.3
400.0,797.0,1213.3,2.7,2.7
390.0,361.7,518.5,2.0,2.1
380.0,421.9,633.8,2.0,2.1
370.0,263.3,376.4,2.0,2.0
360.0,210.5,329.5,2.1,2.0
350.0,98.1,166.3,2.7,2.4
340.0,108.2,168.5,2.5,2.4
330.0,52.9,71.8,2.9,2.8
320.0,57.0,79.6,3.0,2.8
310.0,61.6,101.0,3.1,2.9
300.0,62.9,101.8,3.1,3.1
290.0,82.3,139.9,3.1,3.0
280.0,74.3,111.5,3.0,2.9
270.0,60.4,85.0,2.9,2.8
260.0,67.4,101.5,2.6,2.6
250.0,605.1,1366.2,3.0,3.1
240.0,529.4,1169.8,2.2,2.7
230.0,494.5,1026.5,1.5,1.8
220.0,299.0,614.5,1.5,1.6
210.0,243.6,459.1,1.6,1.8
200.0,106.3,175.3,2.0,2.2
190.0,126.1,210.8,2.8,2.9
180.0,88.2,135.0,2.0,3.0
170.0,63.0,97.9,1.7,1.7
160.0,68.7,105.0,1.5,1.5
150.0,76.4,116.0,1.7,1.7
140.0,96.5,146.8,1.8,1.8
130.0,100.8,160.5,1.5,1.5
120.0,83.6,128.5,1.8,1.7
110.0,74.4,108.4,1.8,1.8
100.0,58.1,80.5,1.7,1.7
90.0,33.8,44.8,1.5,1.7
80.0,29.9,42.4,1.5,1.7
70.0,35.2,47.0,1.4,1.6
60.0,44.9,55.9,1.6,1.8
50.0,50.8,67.2,1.5,1.7
40.0,27.5,29.8,1.2,1.4
30.0,27.1,28.6,1.2,1.4
20.0,29.1,32.2,1.3,1.5
10.0,31.9,36.9,1.3,1.5
0.0,31.6,26.9,1.3,1.5
